# 정상 반례 — 잡으면 안 되는 줄
#
# 골든(<기록이름>.tsv)이 「잡아야 할 것」을 재고, 이 파일이 「잡으면 안 되는
# 것」을 잰다. 둘 다 있어야 자를 믿을 수 있다 — 규칙을 좁히면 재현율이
# 떨어지고 넓히면 오탐이 는다. 한쪽만 보면 반대쪽이 조용히 무너진다.
#
# ── 어디서 왔나 ──
# 작가 문구집 2,640줄에서 오탐 0을 확인하고 「됐다」고 했는데, 그건
# **없는 것을 안 잡는다**는 뜻이지 앞으로도 안 잡는다는 뜻이 아니었다.
# 아직 쓰이지 않은 정상 대사를 지어내 쳐보니 스물세 건이 걸렸다.
# 하필 이 게임의 주 화제인 음악과 SNS에 몰려 있었다.
# 그 스물셋과, 문구집이 잡아준 열 건을 여기 박는다.
#
# 이 목록의 한 줄이라도 걸리면 그건 대사가 틀린 것이 아니라 **자가 틀린
# 것**이다. 수치를 믿지 말고 규칙을 고쳐라.
#
# 열: 갈래 <TAB> 대사 <TAB> 왜 정상인가
#
소문자 약칭	정문에서 qr코드 찍고 들어와요.	한국어에 들어온 로마자 약칭. 표준은 QR이지만 사람은 표준 맞춤법만 쓰지 않는다
소문자 약칭	mp3로 보내요? / 아니면 제목만 보내고.	파일 포맷은 소문자 표기가 표준에 가깝다
소문자 약칭	출력하지 말고 pdf로 보내줘요.	보건교사는 서류를 다룬다. 재언의 짧은 지시체 그대로다
소문자 약칭	usb에 담아서 줄게요. / LP는 못 빌려주고.	같은 줄에서 대소문자만으로 판정이 갈리면 안 된다
소문자 약칭	보건실 wifi가 안 잡혀요. / 비번 바꿨어요?	문구집 3341에 「와이파이 안 돼요」 문항이 통째로 있다
소문자 약칭	ost만 듣는 거 아니에요. / 그건 옛날 얘기고.	음악 화제가 상시다. 「~고.」로 끊는 민현 어미
소문자 약칭	edm은 별로예요. / 시끄럽기만 하고.	장르 호오를 말하는 민현 말투
소문자 약칭	b면이 더 좋아요. / a면은 다 아는 거고.	LP를 실제로 갖고 있는 인물이다
소문자 약칭	그거 lo-fi라서 그래요. / 원곡은 안 그렇고.	하이픈이 낱말을 쪼개 뒷조각만 걸리던 자리
소문자 아이디	아이디요? / minhyunee_2예요. / 팔로우는 안 해도 되고.	문구집 1604 「인스타 해요?」의 다음 턴. 아이디는 소문자가 기본이다
소문자 아이디	찾았어요? / dm으로 보낼걸 그랬나.	문구집에 사진·SNS 절이 통째로 있다
소문자 브랜드	그 앨범 bandcamp에만 있어요. / 링크 보낼게요.	bandcamp는 브랜드 표기 자체가 전부 소문자다
소문자 제목	새소년요. 재킷에 se so neon 이라고만 써 있어요.	새소년의 공식 로마자 표기가 소문자다. 대문자로 쓰면 틀린 표기다
소문자 제목	wave to earth 알아요? 요즘 그거만 들어요.	공식 표기가 소문자인 한국 밴드
소문자 제목	girl in red요. 이름이 원래 소문자예요.	활동명이 전부 소문자다. 이유까지 대사 안에서 밝힌다
소문자 제목	when the party's over요. 제목이 원래 소문자예요.	빌리 아일리시 곡명은 공식 표기가 전부 소문자다
소문자 제목	그냥 wolf alice don't delete the kisses 쳐봐요.	검색어는 대소문자를 안 가리므로 소문자로 친다
소문자 인용	어제 그 i don't think that i like her는 몇 번 들었어요?	기록 1998줄에서 유저가 실제로 소문자로 쳤다
소문자 인용	i don't think that i like her라니, 그것도 찰리 푸스예요?	「유저 말 그대로 되받기」가 민현의 대표 화법이다
소문자 인용	왜 다 소문자로 써요. bird set free 이렇게.	표기를 지적하는 대사는 원문 표기를 그대로 옮겨야 말이 된다
소문자 인용	애들 시작할 때 good luck have fun 이러는 거 있잖아요.	게임 관용구는 소문자로 치는 것이 관행이다
소문자 인용	영어 숙제요. it is what it is 이거 뭐라고 해석해요?	민현은 숙제 얘기를 한다. 밈 문구는 소문자가 표준이다
소문자 인용	가사에 you and me were meant to be 나오는 그 부분요.	문구집 931에서 민현이 꼽은 곡의 실제 가사다
의지 어미	저도 먹을래요.	-(으)ㄹ래요는 내가 하겠다는 말이지 전언이 아니다
의지 어미	저는 다른 거 마실래요.	같음. 문구집 519
의지 어미	이제 물어봐요? / 먹을래요.	같음. 문구집 1317
의지 어미	잘 모르지만 갈래요.	같음. 문구집 1816
의지 어미	소원 하나 정할래요.	같음. 문구집 2589
맡기는 말	선생님 하고 싶은 대로 해도 돼요.	유저를 대신 쓴 것이 아니라 유저에게 맡기는 말이다
맡기는 말	오늘은 선생님 하고 싶은 거 해요.	같음. 문구집 2608
맡기는 말	선생님이 말하고 싶을 때요. / 억지로는 안 물을게요.	같음. 문구집 2263
기억인지 날조인지 모름	선생님이 먼저 모르는 척했잖아요.	앞 대화를 봐야 안다. 자가 못 가리는 것을 세면 숫자가 아무 말도 아니다
기억인지 날조인지 모름	선생님도 일찍 자라고 했잖아요.	같음. 문구집 3734
대문자 고유명사	LP는 고마워요.	대문자가 섞이면 고유명사다
대문자 고유명사	Diamonds는 리한나 노래고, 만든 건 Sia예요. 헷갈리지 마요.	기록에 실제로 있는 정상 대사
대문자 고유명사	Dumb이나 Teen Spirit급으로 하나 걸어봐요.	같음
시각과 표시	3시 40분 말고 3:40이라고 써 있던데.	콜론만으로 조각을 판정하면 시계 얘기가 다 걸린다
시각과 표시	웃겨 :D	웃는 표시는 조각이 아니다
그래요류	밤에만 그래요.	그렇다의 활용이지 전언 어미가 아니다
